tile_id,centroid_lon,centroid_lat,min_lon,min_lat,max_lon,max_lat
000107,-106.57656711643013,46.619561388227645,-107.66465291190157,45.869775139005995,-105.50802977293951,47.365644567694694
000108,-104.63264318968913,46.75619593987493,-105.70521368710192,46.018323613875125,-103.57986786915016,47.49005176763606
000109,-102.6814491888065,46.86523414677785,-103.73745991453795,46.139693734444066,-101.64543259171822,47.58643319433118
000110,-100.72459717952275,46.94651031327399,-101.76303518888935,46.23370858432866,-99.70630282069838,47.65463616905184
000111,-98.76372775027625,46.99989972724176,-99.78361726485623,46.30022962584247,-97.7640807195635,47.694551729923006
000112,-96.80050189267789,47.02531990189551,-97.80090969383735,46.339158038206115,-95.81663312976968,47.70623605690739
000113,-94.8365926243312,47.02273140467581,-95.82038388156857,46.33404567245678,-93.83251641362949,47.70611575053902
000114,-92.87367645871352,46.99213825562349,-93.8768372844277,46.29001254264604,-91.85028755141566,47.68930960325486
000115,-90.9134248304501,46.93358788670346,-91.93506515278483,46.21840200492562,-89.87166470301305,47.644160352550706
000116,-88.95749558537203,46.847170662951896,-89.99668283010172,46.11932030385199,-87.89834729907035,47.57074047419076
000117,-87.00752464321116,46.73301897569364,-88.06328876136672,45.99291318100476,-85.93200739993159,47.46916710638823
000118,-85.06511793670929,46.591305927054535,-86.13645668545634,45.83936447052297,-83.97428140485292,47.33960084943342
000119,-83.13184372445802,46.42224363323801,-84.21772813115196,45.65889435389481,-82.02676221144054,47.18224413983544
000123,-75.5197294687254,45.47798719848858,-76.65316767932825,44.6733535699622,-74.36869776654663,46.280303450716765
000124,-73.65384931627574,45.17656704153911,-74.79648246922541,44.36269391145579,-72.49410863575518,45.98833594487614
000125,-71.8053566697687,44.84975639645655,-72.9561115250242,44.027066045222604,-70.63800764224159,45.67053656819109
000126,-69.97538796581132,44.497969423036224,-71.13320211204744,43.666875222496756,-68.80151692421208,45.327328111895746
000127,-68.16500209855913,44.121637039775905,-69.32882849493733,43.28254160192248,-66.98567651964257,44.959152152755074
000129,-124.7383172560741,42.515996882684625,-125.89591425644001,41.67479375917083,-123.59532243022801,43.355365444120054
000130,-122.97481341220784,42.90382885177278,-124.12768654771686,42.0704174581654,-121.83707557196202,43.73526970772296
000131,-121.1920096638527,43.267825536752646,-122.33916602386765,42.44257426275214,-120.06050456343829,44.09095254119505
000132,-119.39086224094699,43.60757983010674,-120.53128947378946,42.790867639166436,-118.26658193631239,44.42199631585419
000133,-117.57239980422946,43.922698359129285,-118.70507004701557,43.114913207897764,-116.45634871720613,44.72799886333747
000134,-115.73772154361626,44.212804316610466,-116.86159567936929,43.4143414138413,-114.63091223563626,45.00857647696862
000135,-113.88799462787965,44.47754029133946,-115.00202683882671,43.68880020621805,-112.79144331636779,45.263366900704455
000136,-112.02445099921377,44.716571061394184,-113.12759357805011,43.93795769518968,-110.9391728561844,45.49203226422019
000137,-110.148383516856,44.92958631071302,-111.23959189096587,44.16150474962716,-109.07538779522805,45.69426192026411
000138,-108.26114146516609,45.11630322783013,-109.33937938254677,44.35915749874542,-107.20142650366205,45.869775139005995
000139,-106.3641254531674,45.27646894504424,-107.4283702733406,44.53065969941921,-105.31867361518725,46.018323613875125
000140,-104.45878174421624,45.40986277679575,-105.50802977293951,44.67578493106162,-103.42855434958913,46.139693734444066
000141,-102.546596065843,45.51629821771931,-103.57986786915016,44.79433858105293,-101.53252837670246,46.23370858432866
000142,-100.62908696055894,45.59562466374488,-101.64543259171822,44.886159585892415,-99.63208328363271,46.30022962584247
000143,-98.70779874819148,45.647728823706075,-99.70630282069838,44.951121896502784,-97.72872771546483,46.339158038206115
000144,-96.78429417877965,45.67253579409499,-97.7640807195635,44.989135640387794,-95.82038388156857,46.350553008470705
000145,-94.86014686192911,45.67000977573181,-95.82398426673905,44.984143500814184,-93.8768372844277,46.35043568233837
000146,-92.9369335635589,45.64015441800123,-93.91938220643961,44.9411445703999,-91.93506515278483,46.33404567245678
000147,-91.01622646398165,45.58301278370993,-92.01645012293417,44.871210914041505,-89.99668283010172,46.29001254264604
000148,-89.09958547214157,45.49866693527631,-90.11670857708764,44.77443916263726,-88.06328876136672,46.21840200492562
000149,-87.18855068955357,45.38723715059262,-88.22166285159149,44.65096193281836,-86.13645668545634,46.11932030385199
000150,-85.28463511409356,45.24888078422655,-86.33279588240482,44.50094660693834,-84.21772813115196,45.99291318100476
